trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-397.67627,27.959946,-369.7163,-425.6362,201.0,-1854.0919,372.5507,-1065.7637,-2610.1255,201.0,20100,0.0,0.0,35.625420808792114,0.19691867,-1854.0919
-350.50195,48.91356,-301.5884,-399.41553,201.0,-411.89175,42.01539,-380.9899,-483.78833,201.0,20904,0.0,0.0,121.60607576370239,0.1812237,-1854.0919
-287.37878,10.978897,-276.3999,-298.3577,201.0,-310.73602,19.686083,-293.43976,-344.082,201.0,21708,0.0,0.0,217.7717456817627,0.17632641,-1854.0919
-298.4372,10.596832,-287.84036,-309.03403,201.0,-298.48962,17.789963,-274.26035,-320.89413,201.0,22512,0.0,0.0,315.1092298030853,0.17449267,-1854.0919
-303.78497,24.380539,-279.40442,-328.1655,201.0,-381.44006,95.114685,-296.05927,-538.64496,201.0,23316,0.0,0.0,413.72136974334717,0.1660364,-1854.0919
-292.03552,7.1295776,-284.90594,-299.1651,201.0,-297.6009,12.936248,-276.5184,-308.7408,201.0,24120,0.0,0.0,502.3494017124176,0.16072726,-1854.0919
-306.11096,1.8861847,-304.22476,-307.99713,201.0,-299.89093,20.29905,-285.19888,-334.88858,201.0,24924,0.0,0.0,591.4881076812744,0.158936,-1854.0919
-295.76263,6.4873047,-289.27533,-302.24994,201.0,-292.47498,26.52549,-270.64224,-337.84662,201.0,25728,0.0,0.0,679.9733219146729,0.16209309,-1854.0919
-306.48804,44.348877,-262.13916,-350.8369,201.0,-290.3601,21.161915,-271.71857,-324.7851,201.0,26532,0.0,0.0,768.5131847858429,0.16066879,-1854.0919
-286.55292,4.277008,-282.2759,-290.82993,201.0,-291.45734,8.562409,-280.44815,-302.00436,201.0,27336,0.0,0.0,858.118950843811,0.15324992,-1854.0919
-278.2282,4.5386353,-273.68958,-282.76685,201.0,-298.58185,24.165497,-275.10428,-337.46228,201.0,28140,0.0,0.0,959.3684906959534,0.15170781,-1854.0919
-281.87225,13.344879,-268.52737,-295.21713,201.0,-296.03656,18.417093,-267.42902,-312.67712,201.0,28944,0.0,0.0,1059.6706409454346,0.14755492,-1854.0919
-286.28186,2.9534454,-283.3284,-289.2353,201.0,-277.44653,26.804426,-240.71002,-316.43552,201.0,29748,0.0,0.0,1147.2862598896027,0.1437612,-1854.0919
-296.4234,10.932327,-285.49106,-307.3557,201.0,-274.09552,7.723225,-264.46777,-285.6701,201.0,30552,0.0,0.0,1233.7322299480438,0.14826618,-1854.0919
-313.76978,8.674332,-305.09546,-322.44412,201.0,-303.4508,9.625786,-289.881,-316.41583,201.0,31356,0.0,0.0,1334.0720148086548,0.14715491,-1854.0919
