trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
-615.5245,175.32532,-373.705,-1383.6533,93.31818181818181,-1102.9303,0.0,-1102.9303,-1102.9303,222.0,-1102.9303
-615.5092,264.0582,-328.76187,-1918.4717,100.90243902439025,-549.46875,0.0,-549.46875,-549.46875,121.0,-1102.9303
-140.68439,12.7323265,-124.733696,-158.72571,999.0,-154.33365,0.0,-154.33365,-154.33365,999.0,-1102.9303
-215.64398,69.73946,-109.912445,-322.4975,798.6666666666666,-173.65617,0.0,-173.65617,-173.65617,999.0,-1102.9303
-170.4093,77.72119,-39.42108,-256.35953,830.4,-218.84314,0.0,-218.84314,-218.84314,999.0,-1102.9303
-65.42494,73.44507,76.48891,-123.05792,969.2,-57.568687,0.0,-57.568687,-57.568687,641.0,-1102.9303
-46.788567,91.62327,122.2965,-153.61008,892.6,162.33942,0.0,162.33942,162.33942,513.0,-1102.9303
-29.049438,34.575146,35.523636,-65.11945,999.0,-35.916977,0.0,-35.916977,-35.916977,999.0,-1102.9303
141.25389,54.509663,215.65173,38.966022,377.72727272727275,142.84525,0.0,142.84525,142.84525,443.0,-1102.9303
96.99307,89.757484,201.90662,-91.57182,530.875,171.64954,0.0,171.64954,171.64954,250.0,-1102.9303
102.95131,115.415955,229.4467,-91.65254,481.3333333333333,141.84656,0.0,141.84656,141.84656,616.0,-1102.9303
35.54121,107.64536,186.9595,-106.16545,642.0,-8.6562195,0.0,-8.6562195,-8.6562195,999.0,-1102.9303
-9.165339,97.81625,187.74966,-151.21884,596.375,-129.7184,0.0,-129.7184,-129.7184,999.0,-1102.9303
81.68715,102.16656,211.87985,-65.586006,456.1111111111111,175.2675,0.0,175.2675,175.2675,155.0,-1102.9303
167.2226,65.571815,231.87453,36.045807,278.0,37.81848,0.0,37.81848,37.81848,540.0,-1102.9303
5.5823293,199.3497,210.42924,-424.12366,343.4166666666667,195.77441,0.0,195.77441,195.77441,331.0,-1102.9303
132.19867,98.85383,231.39105,-108.61395,321.53333333333336,206.40994,0.0,206.40994,206.40994,234.0,-1102.9303
118.65006,75.22822,183.92863,-62.674488,414.5,204.0602,0.0,204.0602,204.0602,167.0,-1102.9303
-39.59258,79.9146,105.50235,-138.88647,970.2,-33.761383,0.0,-33.761383,-33.761383,999.0,-1102.9303
86.1886,121.11971,219.9657,-175.83125,326.46153846153845,171.12872,0.0,171.12872,171.12872,124.0,-1102.9303
35.692257,100.46687,166.10898,-65.1112,613.4285714285714,196.61452,0.0,196.61452,196.61452,276.0,-1102.9303
-65.1673,27.040657,-35.997856,-111.99542,999.0,166.64642,0.0,166.64642,166.64642,301.0,-1102.9303
9.690941,89.46742,171.48633,-76.398636,797.6666666666666,148.005,0.0,148.005,148.005,303.0,-1102.9303
9.851446,98.6663,160.92511,-84.88193,855.0,-107.05051,0.0,-107.05051,-107.05051,999.0,-1102.9303
94.40233,91.75793,212.3969,-51.920265,522.375,134.5813,0.0,134.5813,134.5813,495.0,-1102.9303
174.4718,38.969486,221.93272,97.50903,332.2857142857143,185.42404,0.0,185.42404,185.42404,323.0,-1102.9303
153.68423,84.24599,244.41933,-41.28939,413.3,154.73862,0.0,154.73862,154.73862,338.0,-1102.9303
134.22217,105.67788,221.93956,-40.481064,460.6666666666667,185.7526,0.0,185.7526,185.7526,264.0,-1102.9303
-47.387714,134.92548,184.10492,-245.06134,556.7777777777778,144.60928,0.0,144.60928,144.60928,328.0,-1102.9303
141.18434,97.77885,243.71094,-87.43498,243.1764705882353,195.4545,0.0,195.4545,195.4545,193.0,-1102.9303
149.99895,67.04686,239.93256,-7.9732857,241.1764705882353,177.10803,0.0,177.10803,177.10803,192.0,-1102.9303
68.58794,126.390305,234.6651,-169.66142,319.46153846153845,187.36642,0.0,187.36642,187.36642,101.0,-1102.9303
137.12383,101.25184,224.2364,-107.99898,296.8,172.74121,0.0,172.74121,172.74121,234.0,-1102.9303
132.08246,69.84057,218.1377,-24.961906,413.9166666666667,205.66263,0.0,205.66263,205.66263,112.0,-1102.9303
110.79262,84.638245,212.39804,-63.99823,293.42857142857144,175.06906,0.0,175.06906,175.06906,82.0,-1102.9303
75.64028,98.93576,239.01962,-94.048325,194.0,193.37024,0.0,193.37024,193.37024,148.0,-1102.9303
158.92717,79.03838,241.731,-67.579414,342.5833333333333,185.25005,0.0,185.25005,185.25005,999.0,-1102.9303
66.86882,96.05616,222.92221,-71.83591,421.25,-52.006565,0.0,-52.006565,-52.006565,99.0,-1102.9303
74.60894,117.55822,193.00006,-170.15227,174.79166666666666,-62.614277,0.0,-62.614277,-62.614277,225.0,-1102.9303
81.55995,109.144135,252.96332,-69.83443,236.5,-34.663887,0.0,-34.663887,-34.663887,100.0,-1102.9303
106.25953,120.66513,208.74213,-175.56006,178.82608695652175,-64.034454,0.0,-64.034454,-64.034454,200.0,-1102.9303
74.243126,124.38724,227.43916,-204.69328,195.61904761904762,-237.83257,0.0,-237.83257,-237.83257,112.0,-1102.9303
145.92,91.50722,253.09125,-65.9872,157.7037037037037,184.1695,0.0,184.1695,184.1695,102.0,-1102.9303
177.20226,74.73261,250.8353,-31.197289,230.66666666666666,186.72897,0.0,186.72897,186.72897,319.0,-1102.9303
61.346096,207.93945,230.77997,-513.7705,408.6363636363636,-55.436348,0.0,-55.436348,-55.436348,999.0,-1102.9303
124.13392,98.41531,224.41603,-67.92958,357.46153846153845,176.75015,0.0,176.75015,176.75015,319.0,-1102.9303
170.50354,57.799637,223.60458,-18.231308,244.58823529411765,198.63312,0.0,198.63312,198.63312,261.0,-1102.9303
85.3932,109.113556,230.05487,-36.504166,671.4285714285714,221.69344,0.0,221.69344,221.69344,351.0,-1102.9303
153.00104,72.93161,214.18982,-31.359142,458.3333333333333,186.19223,0.0,186.19223,186.19223,352.0,-1102.9303
145.68985,86.510826,217.41246,-37.389046,408.72727272727275,170.74846,0.0,170.74846,170.74846,174.0,-1102.9303
149.1244,98.66914,233.13664,-36.325706,458.22222222222223,209.44038,0.0,209.44038,209.44038,169.0,-1102.9303
