trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
6.0816026,0.27375796,7.0,6.0,6.0816023738872405,6.090909,0.28747976,7.0,6.0,6.090909090909091,None,6.090909
6.093611,0.29128635,7.0,6.0,6.093610698365527,6.0,0.0,6.0,6.0,6.0,None,6.090909
28.887323,1.4196737,32.0,26.0,28.887323943661972,28.333334,1.2472192,30.0,27.0,28.333333333333332,-13.029641151428223,6.090909
60.705883,1.5054686,64.0,56.0,60.705882352941174,62.0,0.0,62.0,62.0,62.0,-16.92310333251953,6.090909
59.594204,1.3547431,63.0,57.0,59.594202898550726,60.0,2.0,62.0,58.0,60.0,-15.905455589294434,6.090909
72.350876,3.7719707,81.0,65.0,72.35087719298245,71.0,0.0,71.0,71.0,71.0,-16.482250213623047,6.090909
63.6,1.3789629,66.0,61.0,63.6,63.0,0.0,63.0,63.0,63.0,-17.411664962768555,6.090909
39.451923,0.49768326,40.0,39.0,39.45192307692308,39.5,0.5,40.0,39.0,39.5,-14.96882152557373,6.090909
24.105883,1.7117141,29.0,21.0,24.105882352941176,24.0,2.1602468,27.0,22.0,24.0,-16.900094985961914,6.090909
67.327866,2.3728056,71.0,61.0,67.32786885245902,65.0,0.0,65.0,65.0,65.0,-19.08122444152832,6.090909
89.23913,0.982118,91.0,87.0,89.23913043478261,89.0,0.0,89.0,89.0,89.0,-19.929277420043945,6.090909
99.21429,1.8327148,103.0,96.0,99.21428571428571,97.0,0.0,97.0,97.0,97.0,-17.678421020507812,6.090909
25.6875,17.946861,48.0,11.0,25.6875,48.0,0.0,48.0,48.0,48.0,-18.952098846435547,6.090909
204.04762,26.18883,248.0,162.0,204.04761904761904,233.0,0.0,233.0,233.0,233.0,-17.184207916259766,6.090909
7.17338,0.37857547,8.0,7.0,7.17338003502627,7.1,0.3,8.0,7.0,7.1,-27.542430877685547,6.090909
29.647482,0.8554801,32.0,28.0,29.64748201438849,28.666666,0.942809,30.0,28.0,28.666666666666668,-18.102807998657227,6.090909
33.729507,0.8301381,36.0,32.0,33.72950819672131,34.5,0.5,35.0,34.0,34.5,-17.20980453491211,6.090909
31.88372,0.3205593,32.0,31.0,31.88372093023256,32.0,0.0,32.0,32.0,32.0,-24.400117874145508,6.090909
35.025642,3.1254718,36.0,16.0,35.02564102564103,35.5,0.5,36.0,35.0,35.5,-21.7523193359375,6.090909
19.367924,0.7809703,21.0,18.0,19.367924528301888,19.5,0.5,20.0,19.0,19.5,-16.193408966064453,6.090909
28.859156,3.978094,41.0,22.0,28.859154929577464,30.333334,2.4944384,33.0,27.0,30.333333333333332,-10.191248893737793,6.090909
26.681818,1.8715385,33.0,23.0,26.681818181818183,27.666666,1.2472192,29.0,26.0,27.666666666666668,-12.529620170593262,6.090909
39.15238,0.49340323,40.0,38.0,39.15238095238095,39.5,0.5,40.0,39.0,39.5,-16.667072296142578,6.090909
77.71698,0.65523607,79.0,77.0,77.71698113207547,77.0,0.0,77.0,77.0,77.0,-19.080278396606445,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-20.477174758911133,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-18.954242706298828,6.090909
6.0,0.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,-19.117237091064453,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-18.132308959960938,6.090909
135.64516,0.47846442,136.0,135.0,135.6451612903226,136.0,0.0,136.0,136.0,136.0,-17.954679489135742,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-16.095365524291992,6.090909
282.26666,8.176932,301.0,270.0,282.26666666666665,267.0,0.0,267.0,267.0,267.0,-17.67024803161621,6.090909
