trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
98.61729,0.0,98.61729,98.61729,501.0,-2423.5024,440.22174,-1787.8011,-3312.8218,501.0,5010,0.0,0.0,97.14193201065063,0.07576195,-2423.5024
245.47983,0.0,245.47983,245.47983,501.0,99.32897,11.759326,125.34405,82.981415,501.0,10020,0.0,0.0,840.626139163971,0.09750825,-2423.5024
313.91263,0.0,313.91263,313.91263,501.0,241.11868,14.248597,260.8333,217.32327,501.0,15030,0.0,0.0,1592.1488795280457,0.10895439,-2423.5024
304.1764,0.0,304.1764,304.1764,501.0,316.91205,19.805447,343.66394,280.7374,501.0,20040,0.0,0.0,2337.4916558265686,0.11353827,-2423.5024
415.77554,0.0,415.77554,415.77554,501.0,364.04437,13.96503,390.9463,342.77478,501.0,25050,0.0,0.0,3092.923583984375,0.11165633,-2423.5024
