trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
7.3662477,0.4817783,8.0,7.0,7.36624775583483,7.111111,0.31426966,8.0,7.0,7.111111111111111,None,7.111111
7.360862,0.4802505,8.0,7.0,7.360861759425494,7.2222223,0.41573972,8.0,7.0,7.222222222222222,None,7.111111
7.395307,0.48891652,8.0,7.0,7.3953068592057765,7.4444447,0.496904,8.0,7.0,7.444444444444445,None,7.111111
65.39683,9.482716,89.0,39.0,65.39682539682539,61.0,1.0,62.0,60.0,61.0,-10.487024307250977,7.111111
294.7857,12.230983,311.0,275.0,294.7857142857143,308.0,0.0,308.0,308.0,308.0,-16.641462326049805,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.558658599853516,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.891876220703125,7.111111
56.49315,0.4999531,57.0,56.0,56.49315068493151,57.0,1.0,58.0,56.0,57.0,-19.46910285949707,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.84445571899414,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.846220016479492,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.10131072998047,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.886932373046875,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-20.459232330322266,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.62848663330078,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.865110397338867,7.111111
103.575,0.8912772,105.0,102.0,103.575,104.0,0.0,104.0,104.0,104.0,-19.572328567504883,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.138362884521484,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.3562068939209,7.111111
159.96153,5.0496063,177.0,156.0,159.96153846153845,160.0,0.0,160.0,160.0,160.0,-19.467391967773438,7.111111
41.696968,0.7581816,44.0,40.0,41.696969696969695,41.5,0.5,42.0,41.0,41.5,-19.758914947509766,7.111111
68.9,2.8676355,75.0,64.0,68.9,68.0,0.0,68.0,68.0,68.0,-19.40886688232422,7.111111
101.439026,70.62026,327.0,61.0,101.4390243902439,64.0,0.0,64.0,64.0,64.0,-18.980798721313477,7.111111
55.2,0.7302968,57.0,54.0,55.2,55.5,0.5,56.0,55.0,55.5,-18.77969741821289,7.111111
59.1,0.98778266,61.0,57.0,59.1,59.5,1.5,61.0,58.0,59.5,-19.123462677001953,7.111111
58.814285,0.779979,60.0,57.0,58.81428571428572,59.0,0.0,59.0,59.0,59.0,-19.399900436401367,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.904531478881836,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.241188049316406,7.111111
65.28571,0.51727533,66.0,64.0,65.28571428571429,65.0,0.0,65.0,65.0,65.0,-18.756757736206055,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.876232147216797,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.416439056396484,7.111111
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.12346649169922,7.111111
