trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
7.5664206,0.49556866,8.0,7.0,7.5664206642066425,7.7777777,0.41573972,8.0,7.0,7.777777777777778,None,7.7777777
7.588889,0.49203533,8.0,7.0,7.588888888888889,7.3333335,0.47140452,8.0,7.0,7.333333333333333,None,7.7777777
7.582255,0.49318773,8.0,7.0,7.582255083179297,7.3333335,0.47140452,8.0,7.0,7.333333333333333,None,7.7777777
67.2623,12.591828,102.0,49.0,67.26229508196721,76.0,0.0,76.0,76.0,76.0,-7.390619277954102,7.7777777
113.888885,11.369496,146.0,98.0,113.88888888888889,101.0,0.0,101.0,101.0,101.0,-15.813384056091309,7.7777777
82.16,2.955402,89.0,77.0,82.16,87.0,0.0,87.0,87.0,87.0,-16.827749252319336,7.7777777
85.479164,4.0773234,92.0,77.0,85.47916666666667,90.0,0.0,90.0,90.0,90.0,-15.647039413452148,7.7777777
59.913044,1.4718533,63.0,57.0,59.91304347826087,59.5,1.5,61.0,58.0,59.5,-16.95581817626953,7.7777777
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-17.2219181060791,7.7777777
190.09091,3.9989672,195.0,183.0,190.0909090909091,194.0,0.0,194.0,194.0,194.0,-17.475688934326172,7.7777777
202.2381,7.3088646,215.0,190.0,202.23809523809524,190.0,0.0,190.0,190.0,190.0,-16.00519561767578,7.7777777
80.39216,2.4016209,85.0,76.0,80.3921568627451,80.0,0.0,80.0,80.0,80.0,-16.65999412536621,7.7777777
107.17949,4.3786883,115.0,99.0,107.17948717948718,107.0,0.0,107.0,107.0,107.0,-17.997861862182617,7.7777777
121.64706,4.999308,132.0,114.0,121.6470588235294,115.0,0.0,115.0,115.0,115.0,-17.95631980895996,7.7777777
86.333336,3.5492566,96.0,81.0,86.33333333333333,92.0,0.0,92.0,92.0,92.0,-16.36452293395996,7.7777777
290.26666,7.5935645,299.0,275.0,290.26666666666665,299.0,0.0,299.0,299.0,299.0,-16.675546646118164,7.7777777
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-16.724895477294922,7.7777777
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-17.566280364990234,7.7777777
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-17.688608169555664,7.7777777
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-17.73883819580078,7.7777777
43.744682,0.74285483,45.0,42.0,43.744680851063826,43.5,0.5,44.0,43.0,43.5,-17.51751708984375,7.7777777
38.551403,0.49735078,39.0,38.0,38.55140186915888,38.5,0.5,39.0,38.0,38.5,-15.64919662475586,7.7777777
38.51402,0.49980342,39.0,38.0,38.51401869158879,38.5,0.5,39.0,38.0,38.5,-14.3699312210083,7.7777777
40.90099,0.33016494,42.0,40.0,40.9009900990099,41.0,0.0,41.0,41.0,41.0,-15.066483497619629,7.7777777
42.360825,0.4802398,43.0,42.0,42.36082474226804,42.0,0.0,42.0,42.0,42.0,-13.822322845458984,7.7777777
46.920456,0.27058822,47.0,46.0,46.92045454545455,47.0,0.0,47.0,47.0,47.0,-16.70223617553711,7.7777777
49.831326,0.9290399,52.0,48.0,49.83132530120482,50.5,0.5,51.0,50.0,50.5,-19.39484214782715,7.7777777
54.13158,0.6755526,56.0,52.0,54.13157894736842,55.0,0.0,55.0,55.0,55.0,-18.2141056060791,7.7777777
42.649483,0.5380614,44.0,42.0,42.649484536082475,43.0,0.0,43.0,43.0,43.0,-15.88115119934082,7.7777777
457.0,124.45079,501.0,105.0,457.0,122.0,0.0,122.0,122.0,122.0,-16.106908798217773,7.7777777
49.457832,0.6072098,51.0,48.0,49.45783132530121,48.5,0.5,49.0,48.0,48.5,-16.272077560424805,7.7777777
