trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
79.08481,0.0,79.08481,79.08481,501.0,-2423.5024,440.22174,-1787.8011,-3312.8218,501.0,5010,0.0,0.0,61.25745940208435,0.07576195,-2423.5024
179.496,0.0,179.496,179.496,501.0,90.85024,22.457188,120.5019,50.629547,501.0,10020,0.0,0.0,437.6138205528259,0.093823105,-2423.5024
254.76154,0.0,254.76154,254.76154,501.0,215.9622,31.377209,264.9726,162.73889,501.0,15030,0.0,0.0,820.8830614089966,0.09708923,-2423.5024
241.39624,0.0,241.39624,241.39624,501.0,236.37273,25.123274,283.77252,195.92673,501.0,20040,0.0,0.0,1197.6354069709778,0.103946894,-2423.5024
286.54813,0.0,286.54813,286.54813,501.0,251.05225,36.59608,295.89276,170.87598,501.0,25050,0.0,0.0,1588.8264064788818,0.101078086,-2423.5024
