eval_returns_Average,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
503.75,618.3938,3250.0,0.0,86.0,710.0,600.0,1310.0,110.0,73.0,45.0
502.85715,614.1927,3840.0,30.0,84.24489795918367,370.0,0.0,370.0,370.0,111.0,45.0
420.57693,418.01462,1830.0,0.0,79.01923076923077,1780.0,0.0,1780.0,1780.0,105.0,45.0
481.52542,673.83246,3850.0,20.0,70.49152542372882,2180.0,0.0,2180.0,2180.0,169.0,45.0
529.4,595.85364,2300.0,30.0,83.06,520.0,0.0,520.0,520.0,100.0,45.0
461.27274,517.3958,2350.0,30.0,76.45454545454545,1100.0,0.0,1100.0,1100.0,108.0,45.0
444.07407,413.33115,2150.0,10.0,76.03703703703704,1730.0,0.0,1730.0,1730.0,194.0,45.0
595.7692,677.6042,2520.0,10.0,79.25,215.0,215.0,430.0,0.0,43.0,45.0
422.5862,570.6275,2820.0,0.0,72.25862068965517,390.0,0.0,390.0,390.0,107.0,45.0
477.84314,353.90436,1470.0,10.0,81.98039215686275,520.0,0.0,520.0,520.0,85.0,45.0
543.3333,609.82697,2710.0,0.0,87.14583333333333,260.0,0.0,260.0,260.0,64.0,45.0
484.80768,521.23553,2110.0,10.0,79.92307692307692,155.0,75.0,230.0,80.0,43.0,45.0
495.0,508.6461,2120.0,0.0,86.0625,1960.0,0.0,1960.0,1960.0,141.0,45.0
524.7059,520.9319,1670.0,0.0,82.70588235294117,320.0,320.0,640.0,0.0,46.5,45.0
419.31033,455.46817,2510.0,10.0,71.67241379310344,130.0,130.0,260.0,0.0,32.5,45.0
556.13635,564.67694,2930.0,30.0,95.79545454545455,430.0,0.0,430.0,430.0,80.0,45.0
