trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
7.0811744,0.27310282,8.0,7.0,7.081174438687392,7.2222223,0.41573972,8.0,7.0,7.222222222222222,None,7.2222223
7.1039863,0.30524254,8.0,7.0,7.103986135181976,7.0,0.0,7.0,7.0,7.0,None,7.2222223
7.0934258,0.29102793,8.0,7.0,7.093425605536332,7.111111,0.31426966,8.0,7.0,7.111111111111111,None,7.2222223
18.8211,1.1925284,21.0,17.0,18.821100917431192,19.5,0.5,20.0,19.0,19.5,-9.599653244018555,7.2222223
42.916668,1.017213,45.0,41.0,42.916666666666664,44.0,0.0,44.0,44.0,44.0,-17.14742088317871,7.2222223
27.945578,1.0740116,31.0,26.0,27.94557823129252,27.666666,0.942809,29.0,27.0,27.666666666666668,-17.222537994384766,7.2222223
45.164837,1.0819572,47.0,43.0,45.16483516483517,45.5,1.5,47.0,44.0,45.5,-14.553485870361328,7.2222223
66.20968,1.5464538,70.0,63.0,66.20967741935483,65.0,0.0,65.0,65.0,65.0,-13.872922897338867,7.2222223
55.716217,1.3408375,59.0,53.0,55.71621621621622,56.0,1.0,57.0,55.0,56.0,-15.958364486694336,7.2222223
60.5,1.4297265,64.0,57.0,60.5,64.0,0.0,64.0,64.0,64.0,-15.63274097442627,7.2222223
55.28,1.2281151,58.0,53.0,55.28,55.0,1.0,56.0,54.0,55.0,-14.050958633422852,7.2222223
43.648937,0.6796032,45.0,42.0,43.648936170212764,43.5,0.5,44.0,43.0,43.5,-14.193706512451172,7.2222223
37.254547,3.60413,40.0,28.0,37.25454545454546,34.0,5.0,39.0,29.0,34.0,-11.248251914978027,7.2222223
103.525,9.340737,125.0,84.0,103.525,108.0,0.0,108.0,108.0,108.0,-7.428981781005859,7.2222223
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-9.810161590576172,7.2222223
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-15.580698013305664,7.2222223
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-13.491636276245117,7.2222223
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-15.79384708404541,7.2222223
347.75,2.6809514,352.0,343.0,347.75,347.0,0.0,347.0,347.0,347.0,-18.28867530822754,7.2222223
92.08889,1.0289632,95.0,90.0,92.08888888888889,92.0,0.0,92.0,92.0,92.0,-19.65643882751465,7.2222223
105.76923,1.142681,108.0,103.0,105.76923076923077,104.0,0.0,104.0,104.0,104.0,-17.501996994018555,7.2222223
103.95,0.9733961,107.0,102.0,103.95,104.0,0.0,104.0,104.0,104.0,-18.07244110107422,7.2222223
71.655174,0.73230207,73.0,70.0,71.65517241379311,70.0,0.0,70.0,70.0,70.0,-18.561281204223633,7.2222223
59.25714,0.64775914,61.0,58.0,59.25714285714286,60.0,0.0,60.0,60.0,60.0,-17.748092651367188,7.2222223
75.98148,0.82755196,78.0,75.0,75.98148148148148,76.0,0.0,76.0,76.0,76.0,-16.31817054748535,7.2222223
80.86275,0.7145438,82.0,79.0,80.86274509803921,81.0,0.0,81.0,81.0,81.0,-15.650613784790039,7.2222223
87.893616,0.6599176,89.0,87.0,87.8936170212766,89.0,0.0,89.0,89.0,89.0,-17.056865692138672,7.2222223
83.52,0.7547185,85.0,82.0,83.52,84.0,0.0,84.0,84.0,84.0,-16.702842712402344,7.2222223
77.09259,0.70101833,78.0,76.0,77.0925925925926,77.0,0.0,77.0,77.0,77.0,-16.950212478637695,7.2222223
75.30909,0.68417776,77.0,74.0,75.30909090909091,76.0,0.0,76.0,76.0,76.0,-18.3973445892334,7.2222223
69.79661,0.63191026,71.0,69.0,69.79661016949153,70.0,0.0,70.0,70.0,70.0,-17.184476852416992,7.2222223
