trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
5.865714,3.3520522,28.0,3.0,5.865714285714286,5.4166665,3.0402396,12.0,3.0,5.416666666666667,None,5.4166665
5.975219,3.4642234,26.0,3.0,5.975218658892128,6.7,3.318132,13.0,3.0,6.7,None,5.4166665
5.886657,3.3538444,28.0,3.0,5.886657101865136,6.8,5.05569,18.0,3.0,6.8,None,5.4166665
49.53012,13.426586,111.0,30.0,49.53012048192771,54.5,5.5,60.0,49.0,54.5,-11.19766616821289,5.4166665
45.533333,3.910669,55.0,32.0,45.53333333333333,42.5,0.5,43.0,42.0,42.5,-17.309999465942383,5.4166665
96.74419,16.97891,148.0,73.0,96.74418604651163,84.0,0.0,84.0,84.0,84.0,-18.61395263671875,5.4166665
173.83333,36.730625,290.0,137.0,173.83333333333334,149.0,0.0,149.0,149.0,149.0,-18.097482681274414,5.4166665
263.3125,27.777506,317.0,206.0,263.3125,377.0,0.0,377.0,377.0,377.0,-18.617856979370117,5.4166665
240.0,75.01852,501.0,178.0,240.0,240.0,0.0,240.0,240.0,240.0,-19.13979721069336,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.755937576293945,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.533096313476562,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.429567337036133,5.4166665
246.82353,39.97681,314.0,209.0,246.8235294117647,220.0,0.0,220.0,220.0,220.0,-19.405424118041992,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.197622299194336,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.13762664794922,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.16848373413086,5.4166665
156.25926,4.4354844,165.0,147.0,156.25925925925927,163.0,0.0,163.0,163.0,163.0,-17.836536407470703,5.4166665
70.28814,1.0743676,73.0,68.0,70.28813559322033,70.0,0.0,70.0,70.0,70.0,-17.96156883239746,5.4166665
61.55224,2.024356,66.0,57.0,61.55223880597015,61.5,0.5,62.0,61.0,61.5,-17.616865158081055,5.4166665
69.76271,1.2533207,73.0,67.0,69.76271186440678,69.0,0.0,69.0,69.0,69.0,-18.049819946289062,5.4166665
230.72223,3.2965562,237.0,226.0,230.72222222222223,226.0,0.0,226.0,226.0,226.0,-17.146068572998047,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-17.616413116455078,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-17.47121238708496,5.4166665
439.7,122.74856,501.0,181.0,439.7,501.0,0.0,501.0,501.0,501.0,-17.16825294494629,5.4166665
96.83721,2.2918484,102.0,93.0,96.83720930232558,96.0,0.0,96.0,96.0,96.0,-16.323875427246094,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-16.270029067993164,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-16.456634521484375,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-16.97903823852539,5.4166665
124.42424,3.9005072,135.0,120.0,124.42424242424242,132.0,0.0,132.0,132.0,132.0,-16.808298110961914,5.4166665
40.831684,0.50872207,42.0,40.0,40.83168316831683,41.0,0.0,41.0,41.0,41.0,-16.92058753967285,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-16.249942779541016,5.4166665
