trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
7.130435,0.33678117,8.0,7.0,7.130434782608695,7.3333335,0.47140452,8.0,7.0,7.333333333333333,None,7.3333335
7.102253,0.30298078,8.0,7.0,7.102253032928942,7.2222223,0.41573972,8.0,7.0,7.222222222222222,None,7.3333335
7.0794473,0.2704357,8.0,7.0,7.079447322970639,7.2222223,0.41573972,8.0,7.0,7.222222222222222,None,7.3333335
38.392525,3.6576817,53.0,33.0,38.39252336448598,38.5,1.5,40.0,37.0,38.5,-7.311394691467285,7.3333335
49.86747,1.3864324,53.0,47.0,49.86746987951807,49.5,0.5,50.0,49.0,49.5,-17.920808792114258,7.3333335
46.55682,0.87721086,48.0,45.0,46.55681818181818,46.0,0.0,46.0,46.0,46.0,-18.233753204345703,7.3333335
52.74359,0.97974205,55.0,51.0,52.743589743589745,52.5,0.5,53.0,52.0,52.5,-17.424610137939453,7.3333335
40.156864,0.724164,41.0,39.0,40.15686274509804,40.5,0.5,41.0,40.0,40.5,-16.61394500732422,7.3333335
49.373493,1.0944641,51.0,47.0,49.373493975903614,49.0,2.0,51.0,47.0,49.0,-15.822509765625,7.3333335
37.633026,0.48197892,38.0,37.0,37.63302752293578,38.0,0.0,38.0,38.0,38.0,-16.96148681640625,7.3333335
41.34,0.62,43.0,40.0,41.34,41.5,0.5,42.0,41.0,41.5,-17.743322372436523,7.3333335
46.22472,0.92107415,48.0,45.0,46.2247191011236,46.0,0.0,46.0,46.0,46.0,-15.83788013458252,7.3333335
167.08,12.305836,191.0,149.0,167.08,176.0,0.0,176.0,176.0,176.0,-17.351318359375,7.3333335
41.01,0.55668664,42.0,40.0,41.01,40.0,0.0,40.0,40.0,40.0,-18.0140438079834,7.3333335
34.42857,0.49487162,35.0,34.0,34.42857142857143,34.0,0.0,34.0,34.0,34.0,-19.61988067626953,7.3333335
38.607475,0.48831216,39.0,38.0,38.60747663551402,38.5,0.5,39.0,38.0,38.5,-17.8974609375,7.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.407047271728516,7.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.117128372192383,7.3333335
80.15385,2.5220919,87.0,75.0,80.15384615384616,80.0,0.0,80.0,80.0,80.0,-17.66111183166504,7.3333335
42.24742,2.0460217,52.0,38.0,42.24742268041237,41.5,0.5,42.0,41.0,41.5,-17.590866088867188,7.3333335
473.1111,78.88169,501.0,250.0,473.1111111111111,501.0,0.0,501.0,501.0,501.0,-16.821134567260742,7.3333335
34.805084,0.6002608,36.0,34.0,34.80508474576271,34.5,0.5,35.0,34.0,34.5,-17.792110443115234,7.3333335
182.39131,48.54468,337.0,131.0,182.3913043478261,152.0,0.0,152.0,152.0,152.0,-18.653566360473633,7.3333335
41.434345,0.7407561,43.0,40.0,41.43434343434343,40.0,0.0,40.0,40.0,40.0,-21.01211929321289,7.3333335
402.72726,126.00007,501.0,195.0,402.72727272727275,167.0,0.0,167.0,167.0,167.0,-18.50460433959961,7.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.536466598510742,7.3333335
261.4375,74.200714,501.0,193.0,261.4375,204.0,0.0,204.0,204.0,204.0,-19.533720016479492,7.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.21969223022461,7.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.64634895324707,7.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.727733612060547,7.3333335
121.117645,4.613055,133.0,115.0,121.11764705882354,119.0,0.0,119.0,119.0,119.0,-19.596176147460938,7.3333335
