trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
7.5664206,0.49556866,8.0,7.0,7.5664206642066425,7.7777777,0.41573972,8.0,7.0,7.777777777777778,None,7.7777777
7.588889,0.49203533,8.0,7.0,7.588888888888889,7.3333335,0.47140452,8.0,7.0,7.333333333333333,None,7.7777777
7.582255,0.49318773,8.0,7.0,7.582255083179297,7.3333335,0.47140452,8.0,7.0,7.333333333333333,None,7.7777777
64.21875,10.768108,91.0,50.0,64.21875,58.0,0.0,58.0,58.0,58.0,-8.010049819946289,7.7777777
58.771427,7.2607975,73.0,47.0,58.77142857142857,50.0,2.0,52.0,48.0,50.0,-18.612499237060547,7.7777777
65.730156,9.510572,88.0,52.0,65.73015873015873,75.0,0.0,75.0,75.0,75.0,-18.234052658081055,7.7777777
30.48889,1.6504395,34.0,28.0,30.488888888888887,30.666666,1.2472192,32.0,29.0,30.666666666666668,-19.550390243530273,7.7777777
29.407143,1.4971232,33.0,27.0,29.40714285714286,30.333334,1.6996732,32.0,28.0,30.333333333333332,-19.9724178314209,7.7777777
58.225353,2.7383413,64.0,54.0,58.225352112676056,58.0,1.0,59.0,57.0,58.0,-19.42778205871582,7.7777777
77.81132,4.480804,86.0,70.0,77.81132075471699,83.0,0.0,83.0,83.0,83.0,-19.410717010498047,7.7777777
63.8,1.7991451,68.0,60.0,63.8,60.0,0.0,60.0,60.0,60.0,-19.939777374267578,7.7777777
45.131866,1.071189,47.0,43.0,45.13186813186813,46.0,1.0,47.0,45.0,46.0,-19.866403579711914,7.7777777
38.839622,0.6607142,40.0,38.0,38.839622641509436,38.5,0.5,39.0,38.0,38.5,-20.172452926635742,7.7777777
42.030613,0.67693913,43.0,41.0,42.03061224489796,42.0,1.0,43.0,41.0,42.0,-19.749652862548828,7.7777777
36.245613,0.43045068,37.0,36.0,36.24561403508772,36.0,0.0,36.0,36.0,36.0,-18.763259887695312,7.7777777
71.793106,0.5800898,73.0,71.0,71.79310344827586,72.0,0.0,72.0,72.0,72.0,-18.601308822631836,7.7777777
98.09524,4.081372,104.0,88.0,98.0952380952381,94.0,0.0,94.0,94.0,94.0,-18.735475540161133,7.7777777
34.082645,0.45612046,35.0,33.0,34.082644628099175,34.0,0.0,34.0,34.0,34.0,-21.164649963378906,7.7777777
40.71287,0.4524222,41.0,40.0,40.71287128712871,41.0,0.0,41.0,41.0,41.0,-20.007183074951172,7.7777777
57.84507,0.70506984,59.0,56.0,57.84507042253521,58.5,0.5,59.0,58.0,58.5,-18.948701858520508,7.7777777
57.63889,0.6933325,59.0,56.0,57.638888888888886,58.0,0.0,58.0,58.0,58.0,-17.60405731201172,7.7777777
54.32895,0.75023085,56.0,53.0,54.328947368421055,54.0,1.0,55.0,53.0,54.0,-17.305702209472656,7.7777777
44.77174,0.41971165,45.0,44.0,44.77173913043478,45.0,0.0,45.0,45.0,45.0,-17.572250366210938,7.7777777
84.67347,0.79250973,86.0,83.0,84.6734693877551,86.0,0.0,86.0,86.0,86.0,-18.358949661254883,7.7777777
49.13095,0.99737465,51.0,47.0,49.13095238095238,49.0,1.0,50.0,48.0,49.0,-19.143522262573242,7.7777777
72.31579,0.97617036,75.0,70.0,72.3157894736842,74.0,0.0,74.0,74.0,74.0,-19.420021057128906,7.7777777
64.53125,0.98375475,67.0,63.0,64.53125,64.5,1.5,66.0,63.0,64.5,-17.330307006835938,7.7777777
64.28125,1.1245658,66.0,62.0,64.28125,65.0,0.0,65.0,65.0,65.0,-17.351707458496094,7.7777777
84.44898,1.499132,88.0,82.0,84.44897959183673,82.0,0.0,82.0,82.0,82.0,-19.28732681274414,7.7777777
113.888885,1.3494397,117.0,112.0,113.88888888888889,113.0,0.0,113.0,113.0,113.0,-18.444644927978516,7.7777777
132.93549,101.61499,501.0,81.0,132.93548387096774,86.0,0.0,86.0,86.0,86.0,-17.85431671142578,7.7777777
