trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-468.28436,7.753937,-460.53043,-476.0383,201.0,-1854.0919,372.5507,-1065.7637,-2610.1255,201.0,20100,0.0,0.0,11.153959274291992,0.19691867,-1854.0919
-356.75317,27.755386,-328.9978,-384.50858,201.0,-443.79358,53.224472,-360.87616,-504.10834,201.0,20904,0.0,0.0,25.74858331680298,0.18716694,-1854.0919
-322.02893,6.1282196,-315.9007,-328.15714,201.0,-334.9122,15.46872,-309.75693,-351.12134,201.0,21708,0.0,0.0,40.12345504760742,0.17458129,-1854.0919
-335.6802,12.371002,-323.3092,-348.0512,201.0,-400.23895,85.915985,-331.97528,-543.1138,201.0,22512,0.0,0.0,55.74356293678284,0.16681325,-1854.0919
-283.24472,2.8624573,-280.38226,-286.10718,201.0,-364.11932,20.047308,-333.76627,-388.04364,201.0,23316,0.0,0.0,72.26501512527466,0.16364409,-1854.0919
-303.5774,1.8209991,-301.7564,-305.3984,201.0,-323.07257,34.528725,-275.377,-359.77203,201.0,24120,0.0,0.0,88.46614909172058,0.16418174,-1854.0919
-300.23584,13.255905,-286.97995,-313.49176,201.0,-369.04544,122.6712,-280.37228,-580.23785,201.0,24924,0.0,0.0,105.04241800308228,0.15933645,-1854.0919
-281.33948,14.862015,-266.47745,-296.20148,201.0,-287.56116,6.976437,-277.44092,-295.29388,201.0,25728,0.0,0.0,121.37396001815796,0.15854101,-1854.0919
-297.60608,16.39885,-281.20724,-314.00494,201.0,-297.23773,22.700254,-266.97095,-330.89267,201.0,26532,0.0,0.0,137.75466227531433,0.15711531,-1854.0919
-282.07874,23.198181,-258.88055,-305.27692,201.0,-332.30957,38.270706,-307.39847,-398.487,201.0,27336,0.0,0.0,154.3820879459381,0.15335067,-1854.0919
-355.8926,56.111633,-299.78098,-412.00424,201.0,-302.11398,24.40006,-276.1615,-341.27066,201.0,28140,0.0,0.0,170.09947395324707,0.15142697,-1854.0919
-310.5041,20.45543,-290.04868,-330.95953,201.0,-328.65042,33.46704,-289.3622,-371.89868,201.0,28944,0.0,0.0,184.70452213287354,0.15887849,-1854.0919
-293.07037,25.558792,-267.5116,-318.62918,201.0,-304.469,21.676292,-280.69696,-339.74982,201.0,29748,0.0,0.0,199.2184681892395,0.14952675,-1854.0919
-314.54413,19.349579,-295.19455,-333.8937,201.0,-298.46185,27.107117,-277.2063,-343.95117,201.0,30552,0.0,0.0,214.19440412521362,0.14579621,-1854.0919
-290.93405,9.874786,-281.05927,-300.80884,201.0,-316.7642,24.377045,-284.1709,-348.10544,201.0,31356,0.0,0.0,230.81579399108887,0.14245647,-1854.0919
