trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
5.893525,3.3821623,24.0,3.0,5.893525179856115,4.3333335,1.9888579,10.0,3.0,4.333333333333333,None,4.3333335
5.883954,3.5751452,29.0,3.0,5.883954154727793,6.4,2.9051678,12.0,3.0,6.4,None,4.3333335
6.16391,3.6876411,29.0,3.0,6.16390977443609,8.125,4.3138585,17.0,3.0,8.125,None,4.3333335
55.24,18.459932,151.0,28.0,55.24,67.0,0.0,67.0,67.0,67.0,-10.446413040161133,4.3333335
69.84746,13.091352,144.0,54.0,69.84745762711864,73.0,0.0,73.0,73.0,73.0,-16.475738525390625,4.3333335
87.297874,9.437172,116.0,74.0,87.29787234042553,79.0,0.0,79.0,79.0,79.0,-17.600149154663086,4.3333335
84.0,16.416765,165.0,64.0,84.0,88.0,0.0,88.0,88.0,88.0,-18.144363403320312,4.3333335
67.83607,3.4412177,75.0,61.0,67.8360655737705,67.0,0.0,67.0,67.0,67.0,-18.047204971313477,4.3333335
67.44262,1.971307,73.0,63.0,67.44262295081967,67.0,0.0,67.0,67.0,67.0,-16.703632354736328,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.41110610961914,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-17.644086837768555,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.12645721435547,4.3333335
95.976746,2.1293995,102.0,92.0,95.97674418604652,96.0,0.0,96.0,96.0,96.0,-17.202224731445312,4.3333335
136.86667,2.7896633,143.0,131.0,136.86666666666667,133.0,0.0,133.0,133.0,133.0,-16.93486785888672,4.3333335
75.472725,1.5118266,78.0,73.0,75.47272727272727,74.0,0.0,74.0,74.0,74.0,-17.33246612548828,4.3333335
181.86957,4.3669143,191.0,174.0,181.8695652173913,178.0,0.0,178.0,178.0,178.0,-17.48720932006836,4.3333335
411.6,5.8514957,420.0,403.0,411.6,415.0,0.0,415.0,415.0,415.0,-15.116933822631836,4.3333335
472.33334,81.08157,501.0,243.0,472.3333333333333,501.0,0.0,501.0,501.0,501.0,-15.6953763961792,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-15.865219116210938,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-15.358833312988281,4.3333335
133.45161,2.2837248,139.0,129.0,133.4516129032258,140.0,0.0,140.0,140.0,140.0,-14.843819618225098,4.3333335
61.58209,0.9642761,64.0,60.0,61.582089552238806,62.5,0.5,63.0,62.0,62.5,-13.765872955322266,4.3333335
41.857143,0.60609156,43.0,41.0,41.857142857142854,42.0,0.0,42.0,42.0,42.0,-13.117960929870605,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-13.952219009399414,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-13.505359649658203,4.3333335
92.95556,1.2284689,95.0,91.0,92.95555555555555,90.0,0.0,90.0,90.0,90.0,-13.296489715576172,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-13.569549560546875,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-13.647478103637695,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-12.834484100341797,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-13.071139335632324,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-12.534332275390625,4.3333335
