trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
32.18182,24.069288,91.0,0.0,93.56818181818181,6.0,4.0,10.0,2.0,41.5,3.0
27.962963,20.317812,82.0,1.0,78.38888888888889,28.0,0.0,28.0,28.0,75.0,3.0
28.423077,21.69841,82.0,0.0,81.9423076923077,10.333333,6.1282587,18.0,3.0,45.666666666666664,3.0
24.836363,17.130264,85.0,0.0,75.36363636363636,27.0,0.0,27.0,27.0,97.0,3.0
26.74074,23.131016,94.0,0.0,78.42592592592592,32.0,0.0,32.0,32.0,100.0,3.0
27.882353,19.24012,78.0,0.0,80.37254901960785,33.0,20.0,53.0,13.0,81.5,3.0
28.367348,18.904371,94.0,1.0,83.6938775510204,12.333333,9.46338,23.0,0.0,32.0,3.0
26.788462,21.445223,87.0,1.0,79.71153846153847,43.0,29.0,72.0,14.0,111.5,3.0
28.960785,23.710642,82.0,0.0,81.15686274509804,28.0,26.0,54.0,2.0,71.5,3.0
28.830189,21.828436,104.0,0.0,78.90566037735849,7.3333335,5.436502,13.0,0.0,29.0,3.0
28.469387,22.971235,84.0,0.0,83.81632653061224,35.0,0.0,35.0,35.0,91.0,3.0
26.436363,16.421453,71.0,2.0,75.07272727272728,25.0,0.0,25.0,25.0,114.0,3.0
24.73585,20.032192,80.0,0.0,77.60377358490567,46.0,0.0,46.0,46.0,99.0,3.0
25.77193,22.359907,90.0,0.0,73.45614035087719,19.0,16.0,35.0,3.0,58.5,3.0
26.418182,22.36612,86.0,0.0,75.4,52.0,0.0,52.0,52.0,134.0,3.0
28.470589,18.882874,85.0,0.0,80.90196078431373,26.0,0.0,26.0,26.0,75.0,3.0
25.877193,17.023277,72.0,1.0,72.50877192982456,35.0,0.0,35.0,35.0,104.0,3.0
29.3125,21.943256,96.0,1.0,86.04166666666667,15.0,0.0,15.0,15.0,78.0,3.0
24.116667,15.249143,77.0,1.0,68.85,23.333334,22.095753,53.0,0.0,59.0,3.0
25.0,16.841768,81.0,0.0,67.83870967741936,14.0,10.424331,25.0,0.0,36.666666666666664,3.0
28.416666,22.129198,98.0,0.0,86.52083333333333,35.5,35.5,71.0,0.0,99.0,3.0
27.571428,19.285187,80.0,0.0,83.77551020408163,17.5,4.5,22.0,13.0,43.0,3.0
28.0,18.373266,79.0,1.0,80.46153846153847,39.0,0.0,39.0,39.0,112.0,3.0
28.56,24.086643,92.0,0.0,82.66,41.0,0.0,41.0,41.0,104.0,3.0
28.229166,22.807383,78.0,0.0,86.85416666666667,39.0,23.0,62.0,16.0,94.5,3.0
25.0,18.680513,75.0,0.0,79.17307692307692,17.333334,19.66949,45.0,1.0,61.333333333333336,3.0
26.642857,18.005384,73.0,0.0,74.21428571428571,15.0,15.0,30.0,0.0,52.0,3.0
31.434782,23.292704,96.0,0.0,90.15217391304348,27.0,26.0,53.0,1.0,63.5,3.0
28.5,20.301098,79.0,2.0,79.48076923076923,30.5,24.5,55.0,6.0,78.5,3.0
26.923077,21.650055,92.0,0.0,78.96153846153847,14.0,10.614455,29.0,6.0,52.666666666666664,3.0
29.041666,20.40931,82.0,0.0,86.625,22.5,0.5,23.0,22.0,48.5,3.0
27.245283,20.498419,85.0,1.0,77.45283018867924,13.5,6.5,20.0,7.0,64.5,3.0
31.59091,24.999382,98.0,0.0,93.18181818181819,19.0,19.0,38.0,0.0,67.0,3.0
26.072727,23.805923,95.0,0.0,74.92727272727272,24.5,24.5,49.0,0.0,53.0,3.0
26.686274,15.531739,62.0,0.0,81.11764705882354,44.0,0.0,44.0,44.0,95.0,3.0
27.895834,21.432295,88.0,0.0,86.14583333333333,4.5,4.5,9.0,0.0,40.5,3.0
30.204082,20.668402,90.0,0.0,85.0,12.0,8.0,20.0,4.0,39.0,3.0
30.911112,21.528093,76.0,0.0,91.75555555555556,17.5,2.5,20.0,15.0,43.0,3.0
29.294117,21.884989,84.0,0.0,82.29411764705883,38.0,0.0,38.0,38.0,92.0,3.0
24.981482,15.530723,59.0,2.0,76.92592592592592,39.0,0.0,39.0,39.0,92.0,3.0
28.215687,22.807219,103.0,0.0,80.90196078431373,34.0,37.850582,87.0,1.0,82.33333333333333,3.0
30.608696,20.074293,84.0,0.0,89.52173913043478,29.333334,33.35999,76.0,0.0,67.66666666666667,3.0
30.020834,25.929785,108.0,0.0,87.0625,43.0,0.0,43.0,43.0,69.0,3.0
28.06,20.174648,85.0,0.0,81.96,38.0,0.0,38.0,38.0,136.0,3.0
25.472727,17.920893,66.0,0.0,74.9090909090909,20.0,0.0,20.0,20.0,92.0,3.0
26.745762,14.857052,72.0,0.0,69.8135593220339,20.0,1.0,21.0,19.0,58.0,3.0
30.088888,25.301579,103.0,2.0,91.73333333333333,17.5,10.5,28.0,7.0,64.5,3.0
30.152174,22.521456,95.0,0.0,90.8695652173913,18.5,3.5,22.0,15.0,48.0,3.0
30.466667,21.934853,84.0,3.0,91.88888888888889,33.0,33.0,66.0,0.0,65.5,3.0
28.32,19.44576,80.0,0.0,83.72,58.0,0.0,58.0,58.0,114.0,3.0
28.04,16.32784,65.0,0.0,81.98,34.0,2.0,36.0,32.0,123.5,3.0
31.5625,19.832535,91.0,4.0,86.29166666666667,24.0,0.0,24.0,24.0,105.0,3.0
28.395834,22.364162,97.0,0.0,86.14583333333333,43.0,0.0,43.0,43.0,89.0,3.0
30.872341,22.98345,106.0,0.0,87.57446808510639,9.0,9.0,18.0,0.0,38.0,3.0
27.096153,18.165117,88.0,0.0,79.92307692307692,65.0,0.0,65.0,65.0,133.0,3.0
30.041666,20.679054,87.0,0.0,85.97916666666667,13.0,0.0,13.0,13.0,103.0,3.0
27.672728,18.685972,74.0,1.0,74.81818181818181,36.0,24.0,60.0,12.0,96.0,3.0
29.555555,18.25505,80.0,2.0,77.37037037037037,36.0,0.0,36.0,36.0,72.0,3.0
30.938776,18.336325,78.0,0.0,86.10204081632654,37.0,0.0,37.0,37.0,79.0,3.0
29.73077,19.545918,86.0,1.0,79.51923076923077,13.0,12.0,25.0,1.0,33.0,3.0
27.057692,15.107834,75.0,2.0,80.0576923076923,28.0,0.0,28.0,28.0,128.0,3.0
24.345455,14.702157,63.0,0.0,74.7090909090909,54.0,0.0,54.0,54.0,81.0,3.0
